373889406,![image](/uploads/bdabe9a5ac356746edfed23ea70e9cf9/image.png){width=532 height=214}
374297909,"- mata_pelajaran (created_by, updated_at, updated_by)
- unit (created_by, updated_at, updated_by)
- sub_unit (created_by, updated_at, updated_by)
- materi (created_by, updated_by)
- sub_unit_materi (created_by)
- rekomendasi (created_by, updated_by)"
374318634,https://wartek.atlassian.net/browse/MUR-402
374330757,""
374655427,""
374691194,""
374785244,""
374945504,"- halaman utama dasbor kategori bisa pakai /cms/sub-unit?sort=fase&order=asc&offset=0&limit=10
![dashboard_kategori_sub_unit](/uploads/a524ea19affa7b3dc248672a874b1484/dashboard_kategori_sub_unit.png)
- halaman list sub-unit by unit id bisa pakai /cms/sub-unit?sort=created_at&order=desc&offset=0&limit=10&unit_id=2163a40b-dfc3-419b-9781-65f59011f467
![Screenshot_2025-04-08_at_09.27.02](/uploads/6b8d1525525a298a943ee5c87a8710f1/Screenshot_2025-04-08_at_09.27.02.png)"
374995619,""
375058655,""
375257834,"https://gitlab.com/wartek-id/murid/learning-platform-be/-/blob/7e14809cf805c5a7ff64872467196d9c2cac87ad/internal/route/openapi.yaml
## [MUR-483](https://wartek.atlassian.net/browse/MUR-483) API CMS get list fase
- untuk dropdown filter fase
- return list of unique fase lexicographically

## [MUR-484](https://wartek.atlassian.net/browse/MUR-484) API CMS get list nama mapel
- untuk dropdown filter mapel
- bisa nerima query param `fase` (optional), in case setelah select filter fase mau refresh listnya
- return list of unique nama mapel lexicographically

## [MUR-485](https://wartek.atlassian.net/browse/MUR-485) API CMS get list nama unit
- untuk dropdown filter unit
- bisa nerima query param `fase` dan `nama_mata_pelajaran` (optional), in case setelah select filter fase dan/atau filter mapel mau refresh listnya
- return list of unique nama unit lexicographically

## [MUR-482](https://wartek.atlassian.net/browse/MUR-482) API CMS get list kategori
- untuk list di halaman dasbor kategori
- bisa nerima query param `fase`, `nama_mata_pelajaran` dan `nama_unit` (optional)
- query param pagination (`offset`, `limit`)
- group by (`fase`, `nama_sub_unit`)
- sort by (`fase`, `nama_sub_unit`, `jenjang.urutan`, `nama_mata_pelajaran`, `nama_unit`, `sub_unit.created_at`) (can be changed later)

<details><summary>Test Query</summary>
select distinct on (k.fase, su.nama) su.id, j.nama, k.fase, mp.nama, u.nama, su.nama

from jenjang j\
join kelas k on k.jenjang_id = j.id\
join mata_pelajaran mp on mp.kelas_id = k.id\
join unit u on u.mata_pelajaran_id = mp.id\
join sub_unit su on su.unit_id = u.id\
order by k.fase asc, su.nama asc, j.urutan, mp.nama asc, u.nama asc, su.created_at asc\
offset 0 limit 10;
</details>

![dashboard_kategori_sub_unit_copy](/uploads/35574399c70d81bc14529528c82f851d/dashboard_kategori_sub_unit_copy.png)"
375285693,""
375555332,https://console.cloud.google.com/security/secret-manager/secret/SEARCH_MATERI_DISABLED/versions?invt=AbuE0g&project=murid-production
375573424,[OpenAPI](https://gitlab.com/wartek-id/murid/learning-platform-be/-/merge_requests/143) part API CMS get list fase
375586695,[OpenAPI](https://gitlab.com/wartek-id/murid/learning-platform-be/-/merge_requests/143) part API CMS get list nama mapel
375863243,[OpenAPI](https://gitlab.com/wartek-id/murid/learning-platform-be/-/merge_requests/143) part API CMS get list nama unit
376242405,[OpenAPI](https://gitlab.com/wartek-id/murid/learning-platform-be/-/merge_requests/143) part API CMS get list kategori
376529336,""
376530834,""
376532876,""
376533902,""
377212724,""
377923164,""
378558301,""
378560121,""
379011226,""
379427973,"Adjust API get mapel detail to hide units (configurable)

ENV configuration
- key: `UNIT_HIDELIST`
- value: semicolon-separated string, e.g. `Unit 1; Unit 2`

# Checklist
- [x] development flag (if needed)
- [x] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
379672860,"# Checklist
- [ ] development flag (if needed)
- [ ] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
379674768,"https://wartek.atlassian.net/browse/MUR-583

# Checklist
- [x] development flag (if needed)
- [x] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
379701201,"# Checklist
- [x] development flag (if needed)
- [x] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
379711191,"# Checklist
- [ ] development flag (if needed)
- [ ] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
379712625,"delete remove dev flag for partial keyword search in api get materi

# Checklist
- [ ] development flag (if needed)
- [ ] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
379734906,"<insert description here if needed>

# Checklist
- [ ] development flag (if needed)
- [x] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
379744754,"<insert description here if needed>

# Checklist
- [ ] development flag (if needed)
- [ ] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
379800974,"fix error if put symbol (non alphanumeric)
fix trim space

# Checklist
- [ ] development flag (if needed)
- [x] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
381038547,"<insert description here if needed>

# Checklist
- [ ] development flag (if needed)
- [x] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
381063292,"# Description
Penambahan judul, thumbnail_url dan slug materi di response. Untuk sub unit id sudah bisa didapatkan dari `id` di response. Pemilihan featured video ini diambil dari materi di bawah sub unit yang memiliki tipe video, status terbit, dan latest created_at.

# Checklist
- [x] development flag (if needed)
- [x] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
381432267,"<insert description here if needed>

# Checklist
- [ ] development flag (if needed)
- [x] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>"
381493676,"<insert description here if needed>

# Checklist
- [ ] development flag (if needed)
- [ ] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>

Closes MUR-606"
381774350,"<insert description here if needed>

# Checklist
- [ ] development flag (if needed)
- [ ] unit test
  - request and response structure, according to acceptance criteria/flow
  - positive cases
  - negative cases

# Unit Test Scenarios
- <list of scenario/unit test name, to be checked by QA>

Closes MUR-606"
